2025-06-11 14:30:13.059 | INFO     | __main__:initialize:25 - Initializing MCPAgent with stdio connection...
2025-06-11 14:30:15.275 | INFO     | app.tool.mcp:_initialize_and_list_tools:124 - Connected to server /home/xiaobuyu/workplace/网页悬浮框助手/OpenManus/.venv/bin/python with tools: ['bash', 'browser_use', 'str_replace_editor', 'terminate']
2025-06-11 14:30:15.280 | INFO     | app.agent.mcp:_refresh_tools:118 - Added MCP tools: ['bash', 'str_replace_editor', 'browser_use', 'terminate']
2025-06-11 14:30:15.280 | INFO     | __main__:initialize:36 - Connected to MCP server via stdio
2025-06-11 14:34:40.095 | WARNING  | __main__:run_default:59 - Processing your request...
2025-06-11 14:34:40.101 | INFO     | app.agent.base:run:140 - Executing step 1/20
2025-06-11 14:34:41.502 | ERROR    | app.llm:ask_tool:756 - OpenAI API error: Error code: 400 - [{'error': {'code': 400, 'message': '* GenerateContentRequest.tools[0].function_declarations[1].name: Invalid function name. Must start with a letter or an underscore. Must be alphameric (a-z, A-Z, 0-9), underscores (_), dots (.) or dashes (-), with a maximum length of 64.\n* GenerateContentRequest.tools[0].function_declarations[2].name: Invalid function name. Must start with a letter or an underscore. Must be alphameric (a-z, A-Z, 0-9), underscores (_), dots (.) or dashes (-), with a maximum length of 64.\n', 'status': 'INVALID_ARGUMENT'}}]
2025-06-11 14:34:41.503 | ERROR    | app.llm:ask_tool:762 - API error: Error code: 400 - [{'error': {'code': 400, 'message': '* GenerateContentRequest.tools[0].function_declarations[1].name: Invalid function name. Must start with a letter or an underscore. Must be alphameric (a-z, A-Z, 0-9), underscores (_), dots (.) or dashes (-), with a maximum length of 64.\n* GenerateContentRequest.tools[0].function_declarations[2].name: Invalid function name. Must start with a letter or an underscore. Must be alphameric (a-z, A-Z, 0-9), underscores (_), dots (.) or dashes (-), with a maximum length of 64.\n', 'status': 'INVALID_ARGUMENT'}}]
2025-06-11 14:34:43.156 | ERROR    | app.llm:ask_tool:756 - OpenAI API error: Error code: 400 - [{'error': {'code': 400, 'message': '* GenerateContentRequest.tools[0].function_declarations[1].name: Invalid function name. Must start with a letter or an underscore. Must be alphameric (a-z, A-Z, 0-9), underscores (_), dots (.) or dashes (-), with a maximum length of 64.\n* GenerateContentRequest.tools[0].function_declarations[2].name: Invalid function name. Must start with a letter or an underscore. Must be alphameric (a-z, A-Z, 0-9), underscores (_), dots (.) or dashes (-), with a maximum length of 64.\n', 'status': 'INVALID_ARGUMENT'}}]
2025-06-11 14:34:43.157 | ERROR    | app.llm:ask_tool:762 - API error: Error code: 400 - [{'error': {'code': 400, 'message': '* GenerateContentRequest.tools[0].function_declarations[1].name: Invalid function name. Must start with a letter or an underscore. Must be alphameric (a-z, A-Z, 0-9), underscores (_), dots (.) or dashes (-), with a maximum length of 64.\n* GenerateContentRequest.tools[0].function_declarations[2].name: Invalid function name. Must start with a letter or an underscore. Must be alphameric (a-z, A-Z, 0-9), underscores (_), dots (.) or dashes (-), with a maximum length of 64.\n', 'status': 'INVALID_ARGUMENT'}}]
2025-06-11 14:34:44.934 | ERROR    | app.llm:ask_tool:756 - OpenAI API error: Error code: 400 - [{'error': {'code': 400, 'message': '* GenerateContentRequest.tools[0].function_declarations[1].name: Invalid function name. Must start with a letter or an underscore. Must be alphameric (a-z, A-Z, 0-9), underscores (_), dots (.) or dashes (-), with a maximum length of 64.\n* GenerateContentRequest.tools[0].function_declarations[2].name: Invalid function name. Must start with a letter or an underscore. Must be alphameric (a-z, A-Z, 0-9), underscores (_), dots (.) or dashes (-), with a maximum length of 64.\n', 'status': 'INVALID_ARGUMENT'}}]
2025-06-11 14:34:44.935 | ERROR    | app.llm:ask_tool:762 - API error: Error code: 400 - [{'error': {'code': 400, 'message': '* GenerateContentRequest.tools[0].function_declarations[1].name: Invalid function name. Must start with a letter or an underscore. Must be alphameric (a-z, A-Z, 0-9), underscores (_), dots (.) or dashes (-), with a maximum length of 64.\n* GenerateContentRequest.tools[0].function_declarations[2].name: Invalid function name. Must start with a letter or an underscore. Must be alphameric (a-z, A-Z, 0-9), underscores (_), dots (.) or dashes (-), with a maximum length of 64.\n', 'status': 'INVALID_ARGUMENT'}}]
2025-06-11 14:34:46.909 | ERROR    | app.llm:ask_tool:756 - OpenAI API error: Error code: 400 - [{'error': {'code': 400, 'message': '* GenerateContentRequest.tools[0].function_declarations[1].name: Invalid function name. Must start with a letter or an underscore. Must be alphameric (a-z, A-Z, 0-9), underscores (_), dots (.) or dashes (-), with a maximum length of 64.\n* GenerateContentRequest.tools[0].function_declarations[2].name: Invalid function name. Must start with a letter or an underscore. Must be alphameric (a-z, A-Z, 0-9), underscores (_), dots (.) or dashes (-), with a maximum length of 64.\n', 'status': 'INVALID_ARGUMENT'}}]
2025-06-11 14:34:46.909 | ERROR    | app.llm:ask_tool:762 - API error: Error code: 400 - [{'error': {'code': 400, 'message': '* GenerateContentRequest.tools[0].function_declarations[1].name: Invalid function name. Must start with a letter or an underscore. Must be alphameric (a-z, A-Z, 0-9), underscores (_), dots (.) or dashes (-), with a maximum length of 64.\n* GenerateContentRequest.tools[0].function_declarations[2].name: Invalid function name. Must start with a letter or an underscore. Must be alphameric (a-z, A-Z, 0-9), underscores (_), dots (.) or dashes (-), with a maximum length of 64.\n', 'status': 'INVALID_ARGUMENT'}}]
2025-06-11 14:34:49.698 | INFO     | app.tool.mcp:disconnect:185 - Disconnected from MCP server /home/xiaobuyu/workplace/网页悬浮框助手/OpenManus/.venv/bin/python
2025-06-11 14:34:49.698 | INFO     | app.tool.mcp:disconnect:194 - Disconnected from all MCP servers
2025-06-11 14:34:49.698 | INFO     | app.agent.mcp:cleanup:176 - MCP connection closed
2025-06-11 14:34:49.698 | INFO     | __main__:cleanup:66 - Session ended
