2025-06-11 14:35:56.698 | INFO     | __main__:initialize:25 - Initializing MCPAgent with stdio connection...
2025-06-11 14:35:58.947 | INFO     | app.tool.mcp:_initialize_and_list_tools:124 - Connected to server /home/xiaobuyu/workplace/网页悬浮框助手/OpenManus/.venv/bin/python with tools: ['bash', 'browser_use', 'str_replace_editor', 'terminate']
2025-06-11 14:35:58.953 | INFO     | app.agent.mcp:_refresh_tools:118 - Added MCP tools: ['browser_use', 'bash', 'str_replace_editor', 'terminate']
2025-06-11 14:35:58.953 | INFO     | __main__:initialize:36 - Connected to MCP server via stdio
2025-06-11 14:36:14.426 | WARNING  | __main__:run_default:59 - Processing your request...
2025-06-11 14:36:14.427 | INFO     | app.agent.base:run:140 - Executing step 1/20
2025-06-11 14:36:15.728 | ERROR    | app.llm:ask_tool:756 - OpenAI API error: Error code: 400 - [{'error': {'code': 400, 'message': '* GenerateContentRequest.tools[0].function_declarations[1].name: Invalid function name. Must start with a letter or an underscore. Must be alphameric (a-z, A-Z, 0-9), underscores (_), dots (.) or dashes (-), with a maximum length of 64.\n* GenerateContentRequest.tools[0].function_declarations[2].name: Invalid function name. Must start with a letter or an underscore. Must be alphameric (a-z, A-Z, 0-9), underscores (_), dots (.) or dashes (-), with a maximum length of 64.\n', 'status': 'INVALID_ARGUMENT'}}]
2025-06-11 14:36:15.729 | ERROR    | app.llm:ask_tool:762 - API error: Error code: 400 - [{'error': {'code': 400, 'message': '* GenerateContentRequest.tools[0].function_declarations[1].name: Invalid function name. Must start with a letter or an underscore. Must be alphameric (a-z, A-Z, 0-9), underscores (_), dots (.) or dashes (-), with a maximum length of 64.\n* GenerateContentRequest.tools[0].function_declarations[2].name: Invalid function name. Must start with a letter or an underscore. Must be alphameric (a-z, A-Z, 0-9), underscores (_), dots (.) or dashes (-), with a maximum length of 64.\n', 'status': 'INVALID_ARGUMENT'}}]
2025-06-11 14:36:18.211 | ERROR    | app.llm:ask_tool:756 - OpenAI API error: Error code: 400 - [{'error': {'code': 400, 'message': '* GenerateContentRequest.tools[0].function_declarations[1].name: Invalid function name. Must start with a letter or an underscore. Must be alphameric (a-z, A-Z, 0-9), underscores (_), dots (.) or dashes (-), with a maximum length of 64.\n* GenerateContentRequest.tools[0].function_declarations[2].name: Invalid function name. Must start with a letter or an underscore. Must be alphameric (a-z, A-Z, 0-9), underscores (_), dots (.) or dashes (-), with a maximum length of 64.\n', 'status': 'INVALID_ARGUMENT'}}]
2025-06-11 14:36:18.212 | ERROR    | app.llm:ask_tool:762 - API error: Error code: 400 - [{'error': {'code': 400, 'message': '* GenerateContentRequest.tools[0].function_declarations[1].name: Invalid function name. Must start with a letter or an underscore. Must be alphameric (a-z, A-Z, 0-9), underscores (_), dots (.) or dashes (-), with a maximum length of 64.\n* GenerateContentRequest.tools[0].function_declarations[2].name: Invalid function name. Must start with a letter or an underscore. Must be alphameric (a-z, A-Z, 0-9), underscores (_), dots (.) or dashes (-), with a maximum length of 64.\n', 'status': 'INVALID_ARGUMENT'}}]
2025-06-11 14:36:20.143 | ERROR    | app.llm:ask_tool:756 - OpenAI API error: Error code: 400 - [{'error': {'code': 400, 'message': '* GenerateContentRequest.tools[0].function_declarations[1].name: Invalid function name. Must start with a letter or an underscore. Must be alphameric (a-z, A-Z, 0-9), underscores (_), dots (.) or dashes (-), with a maximum length of 64.\n* GenerateContentRequest.tools[0].function_declarations[2].name: Invalid function name. Must start with a letter or an underscore. Must be alphameric (a-z, A-Z, 0-9), underscores (_), dots (.) or dashes (-), with a maximum length of 64.\n', 'status': 'INVALID_ARGUMENT'}}]
2025-06-11 14:36:20.143 | ERROR    | app.llm:ask_tool:762 - API error: Error code: 400 - [{'error': {'code': 400, 'message': '* GenerateContentRequest.tools[0].function_declarations[1].name: Invalid function name. Must start with a letter or an underscore. Must be alphameric (a-z, A-Z, 0-9), underscores (_), dots (.) or dashes (-), with a maximum length of 64.\n* GenerateContentRequest.tools[0].function_declarations[2].name: Invalid function name. Must start with a letter or an underscore. Must be alphameric (a-z, A-Z, 0-9), underscores (_), dots (.) or dashes (-), with a maximum length of 64.\n', 'status': 'INVALID_ARGUMENT'}}]
2025-06-11 14:36:23.256 | ERROR    | app.llm:ask_tool:756 - OpenAI API error: Error code: 400 - [{'error': {'code': 400, 'message': '* GenerateContentRequest.tools[0].function_declarations[1].name: Invalid function name. Must start with a letter or an underscore. Must be alphameric (a-z, A-Z, 0-9), underscores (_), dots (.) or dashes (-), with a maximum length of 64.\n* GenerateContentRequest.tools[0].function_declarations[2].name: Invalid function name. Must start with a letter or an underscore. Must be alphameric (a-z, A-Z, 0-9), underscores (_), dots (.) or dashes (-), with a maximum length of 64.\n', 'status': 'INVALID_ARGUMENT'}}]
2025-06-11 14:36:23.257 | ERROR    | app.llm:ask_tool:762 - API error: Error code: 400 - [{'error': {'code': 400, 'message': '* GenerateContentRequest.tools[0].function_declarations[1].name: Invalid function name. Must start with a letter or an underscore. Must be alphameric (a-z, A-Z, 0-9), underscores (_), dots (.) or dashes (-), with a maximum length of 64.\n* GenerateContentRequest.tools[0].function_declarations[2].name: Invalid function name. Must start with a letter or an underscore. Must be alphameric (a-z, A-Z, 0-9), underscores (_), dots (.) or dashes (-), with a maximum length of 64.\n', 'status': 'INVALID_ARGUMENT'}}]
